"date","iso_4217","value"
"1986-01-28","CAD",32.98
"1986-01-29","CAD",32.66
"1986-01-30","CAD",32.73
"1986-01-31","CAD",32.78
"1986-02-01","CAD",32.53
"1986-02-04","CAD",32.46
"1986-02-05","CAD",32.37
"1986-02-06","CAD",32.33
"1986-02-07","CAD",32.7
"1986-02-08","CAD",33.06
"1986-02-11","CAD",33.01
"1986-02-12","CAD",33.1
"1986-02-13","CAD",32.92
"1986-02-14","CAD",32.78
"1986-02-15","CAD",32.89
"1986-02-18","CAD",32.74
"1986-02-19","CAD",32.83
"1986-02-20","CAD",32.47
"1986-02-21","CAD",32.54
"1986-02-22","CAD",32.68
"1986-02-25","CAD",32.48
"1986-02-26","CAD",32.14
"1986-02-27","CAD",31.93
"1986-02-28","CAD",32.3
"1986-03-01","CAD",31.88
"1986-03-04","CAD",31.82
"1986-03-05","CAD",31.64
"1986-03-06","CAD",32.03
"1986-03-07","CAD",32.37
"1986-03-08","CAD",32.39
"1986-03-11","CAD",32.83
"1986-03-12","CAD",33.07
"1986-03-13","CAD",32.95
"1986-03-14","CAD",33.2
"1986-03-15","CAD",32.92
"1986-03-18","CAD",33.08
"1986-03-19","CAD",32.83
"1986-03-20","CAD",33.09
"1986-03-21","CAD",32.91
"1986-03-22","CAD",32.69
"1986-03-25","CAD",33.15
"1986-03-26","CAD",33.22
"1986-03-27","CAD",33.68
"1986-03-28","CAD",33.42
"1986-03-29","CAD",33.4
"1986-04-02","CAD",33.7
"1986-04-03","CAD",33.97
"1986-04-04","CAD",34.11
"1986-04-08","CAD",34.54
"1986-04-09","CAD",34.38
"1986-04-10","CAD",33.94
"1986-04-11","CAD",33.96
"1986-04-12","CAD",33.61
"1986-04-15","CAD",33.63
"1986-04-16","CAD",33.61
"1986-04-17","CAD",33.26
"1986-04-18","CAD",32.9
"1986-04-19","CAD",32.82
"1986-04-22","CAD",32.62
"1986-04-23","CAD",32.51
"1986-04-24","CAD",32.35
"1986-04-25","CAD",32.45
"1986-04-26","CAD",32.59
"1986-04-29","CAD",32.3
"1986-04-30","CAD",32.42
"1986-05-01","CAD",32.66
"1986-05-06","CAD",32.73
"1986-05-07","CAD",32.88
"1986-05-08","CAD",32.79
"1986-05-10","CAD",32.53
"1986-05-13","CAD",32.44
"1986-05-14","CAD",32.47
"1986-05-15","CAD",32.63
"1986-05-16","CAD",32.7
"1986-05-17","CAD",32.94
"1986-05-21","CAD",32.96
"1986-05-22","CAD",33.47
"1986-05-23","CAD",33.78
"1986-05-24","CAD",33.83
"1986-05-27","CAD",33.74
"1986-05-28","CAD",33.79
"1986-05-29","CAD",33.45
"1986-05-30","CAD",33.67
"1986-05-31","CAD",33.85
"1986-06-03","CAD",34.28
"1986-06-04","CAD",33.65
"1986-06-05","CAD",33.42
"1986-06-06","CAD",33.34
"1986-06-07","CAD",33.02
"1986-06-10","CAD",33.03
"1986-06-11","CAD",33.13
"1986-06-12","CAD",32.94
"1986-06-13","CAD",33.03
"1986-06-14","CAD",33.1
"1986-06-17","CAD",32.93
"1986-06-18","CAD",33.13
"1986-06-19","CAD",33.13
"1986-06-20","CAD",33.03
"1986-06-21","CAD",33.22
"1986-06-24","CAD",33.6
"1986-06-25","CAD",33.16
"1986-06-26","CAD",33.1
"1986-06-27","CAD",33.07
"1986-06-28","CAD",32.92
"1986-07-01","CAD",32.82
"1986-07-02","CAD",32.84
"1986-07-03","CAD",32.91
"1986-07-04","CAD",32.76
"1986-07-05","CAD",32.76
"1986-07-08","CAD",32.68
"1986-07-09","CAD",32.79
"1986-07-10","CAD",32.74
"1986-07-11","CAD",32.83
"1986-07-12","CAD",32.9
"1986-07-15","CAD",33.03
"1986-07-16","CAD",32.88
"1986-07-17","CAD",32.71
"1986-07-18","CAD",32.66
"1986-07-19","CAD",32.69
"1986-07-22","CAD",32.46
"1986-07-23","CAD",32.3
"1986-07-24","CAD",32.18
"1986-07-25","CAD",32.09
"1986-07-26","CAD",32.35
"1986-07-29","CAD",32.24
"1986-07-30","CAD",32.07
"1986-07-31","CAD",32.1
"1986-08-01","CAD",32.02
"1986-08-02","CAD",31.92
"1986-08-05","CAD",31.83
"1986-08-06","CAD",31.9
"1986-08-07","CAD",31.85
"1986-08-08","CAD",31.7
"1986-08-09","CAD",31.76
"1986-08-12","CAD",31.5
"1986-08-13","CAD",31.53
"1986-08-14","CAD",31.5
"1986-08-15","CAD",31.47
"1986-08-16","CAD",31.46
"1986-08-19","CAD",31.36
"1986-08-20","CAD",31.47
"1986-08-22","CAD",31.35
"1986-08-23","CAD",31.23
"1986-08-26","CAD",31.24
"1986-08-27","CAD",31.18
"1986-08-28","CAD",31.31
"1986-08-29","CAD",31.17
"1986-08-30","CAD",31.25
"1986-09-02","CAD",31.2
"1986-09-03","CAD",31.18
"1986-09-04","CAD",31.26
"1986-09-05","CAD",31.17
"1986-09-06","CAD",31.19
"1986-09-09","CAD",31.59
"1986-09-10","CAD",31.68
"1986-09-11","CAD",31.66
"1986-09-12","CAD",31.64
"1986-09-13","CAD",31.88
"1986-09-16","CAD",31.38
"1986-09-17","CAD",31.49
"1986-09-18","CAD",31.22
"1986-09-19","CAD",30.99
"1986-09-20","CAD",30.84
"1986-09-23","CAD",33.69
"1986-09-24","CAD",33.83
"1986-09-25","CAD",33.86
"1986-09-26","CAD",33.89
"1986-09-27","CAD",33.84
"1986-09-30","CAD",33.73
"1986-10-01","CAD",33.67
"1986-10-02","CAD",33.69
"1986-10-03","CAD",33.64
"1986-10-04","CAD",33.54
"1986-10-07","CAD",33.48
"1986-10-08","CAD",33.57
"1986-10-09","CAD",33.52
"1986-10-10","CAD",33.5
"1986-10-11","CAD",33.55
"1986-10-14","CAD",33.34
"1986-10-15","CAD",33.33
"1986-10-16","CAD",33.3
"1986-10-17","CAD",33.21
"1986-10-18","CAD",33.23
"1986-10-21","CAD",33.23
"1986-10-22","CAD",33.33
"1986-10-23","CAD",33.27
"1986-10-24","CAD",33.37
"1986-10-25","CAD",33.72
"1986-10-28","CAD",33.82
"1986-10-29","CAD",33.81
"1986-10-30","CAD",33.75
"1986-10-31","CAD",33.75
"1986-11-01","CAD",34.12
"1986-11-04","CAD",34.11
"1986-11-05","CAD",34.03
"1986-11-06","CAD",33.94
"1986-11-07","CAD",34.14
"1986-11-11","CAD",33.99
"1986-11-12","CAD",33.9
"1986-11-13","CAD",33.84
"1986-11-14","CAD",33.86
"1986-11-15","CAD",33.76
"1986-11-18","CAD",33.71
"1986-11-19","CAD",33.86
"1986-11-20","CAD",33.81
"1986-11-21","CAD",33.73
"1986-11-22","CAD",33.78
"1986-11-25","CAD",33.82
"1986-11-26","CAD",33.73
"1986-11-27","CAD",33.51
"1986-11-28","CAD",33.54
"1986-11-29","CAD",33.46
"1986-12-02","CAD",33.38
"1986-12-03","CAD",33.44
"1986-12-04","CAD",33.52
"1986-12-05","CAD",33.48
"1986-12-06","CAD",33.72
"1986-12-09","CAD",33.87
"1986-12-10","CAD",33.95
"1986-12-11","CAD",34.01
"1986-12-12","CAD",33.88
"1986-12-13","CAD",34.04
"1986-12-16","CAD",33.95
"1986-12-17","CAD",33.98
"1986-12-18","CAD",33.97
"1986-12-19","CAD",33.89
"1986-12-20","CAD",33.86
"1986-12-23","CAD",33.71
"1986-12-24","CAD",33.62
"1986-12-30","CAD",33.38
"1986-12-31","CAD",33.28
"1987-01-03","CAD",33.03
"1987-01-06","CAD",33.13
"1987-01-07","CAD",33.24
"1987-01-08","CAD",33.31
"1987-01-09","CAD",33.42
"1987-01-10","CAD",33.35
"1987-01-13","CAD",33.16
"1987-01-14","CAD",33.05
"1987-01-15","CAD",32.81
"1987-01-16","CAD",32.67
"1987-01-17","CAD",32.72
"1987-01-20","CAD",32.51
"1987-01-21","CAD",32.73
"1987-01-22","CAD",32.85
"1987-01-23","CAD",32.61
"1987-01-24","CAD",32.56
"1987-01-27","CAD",32.54
"1987-01-28","CAD",32.81
"1987-01-29","CAD",32.66
"1987-01-30","CAD",32.53
"1987-01-31","CAD",32.95
"1987-02-03","CAD",33.16
"1987-02-04","CAD",32.93
"1987-02-05","CAD",33.22
"1987-02-06","CAD",33.49
"1987-02-07","CAD",33.33
"1987-02-10","CAD",33.59
"1987-02-11","CAD",33.1
"1987-02-12","CAD",33.06
"1987-02-13","CAD",32.9
"1987-02-14","CAD",33.03
"1987-02-17","CAD",33
"1987-02-18","CAD",33.1
"1987-02-19","CAD",33.31
"1987-02-20","CAD",33.46
"1987-02-21","CAD",33.39
"1987-02-24","CAD",33.37
"1987-02-25","CAD",33.47
"1987-02-26","CAD",33.33
"1987-02-27","CAD",33.27
"1987-02-28","CAD",33.28
"1987-03-03","CAD",33.24
"1987-03-04","CAD",33.32
"1987-03-05","CAD",33.3
"1987-03-06","CAD",33.34
"1987-03-07","CAD",33.29
"1987-03-10","CAD",33.4
"1987-03-11","CAD",33.48
"1987-03-12","CAD",36.17
"1987-03-13","CAD",36.66
"1987-03-14","CAD",36.6
"1987-03-17","CAD",36.41
"1987-03-18","CAD",36.48
"1987-03-19","CAD",36.5
"1987-03-20","CAD",36.39
"1987-03-21","CAD",36.46
"1987-03-24","CAD",36.4
"1987-03-25","CAD",36.39
"1987-03-26","CAD",36.49
"1987-03-27","CAD",36.45
"1987-03-28","CAD",36.52
"1987-03-31","CAD",36.41
"1987-04-01","CAD",36.17
"1987-04-02","CAD",36.47
"1987-04-03","CAD",36.52
"1987-04-04","CAD",36.47
"1987-04-07","CAD",36.5
"1987-04-08","CAD",36.46
"1987-04-10","CAD",36.56
"1987-04-11","CAD",36.5
"1987-04-14","CAD",36.4
"1987-04-15","CAD",36.09
"1987-04-16","CAD",36.1
"1987-04-17","CAD",35.99
"1987-04-22","CAD",35.85
"1987-04-23","CAD",35.71
